id;file_name;file_type;data;data_content_type
1;du fait que;partout extatique;../fake-data/blob/hipster.png;image/png
2;créer rudement candide;en plus de;../fake-data/blob/hipster.png;image/png
3;commissionnaire foule insuffisamment;délégation;../fake-data/blob/hipster.png;image/png
4;hypocrite assez;tant parce que;../fake-data/blob/hipster.png;image/png
5;avant que à l'entour de spécialiste;depuis;../fake-data/blob/hipster.png;image/png
6;bang proche de;pas mal triathlète;../fake-data/blob/hipster.png;image/png
7;détester;basculer tant;../fake-data/blob/hipster.png;image/png
8;dehors mal de façon que;rectangulaire biathlète gigantesque;../fake-data/blob/hipster.png;image/png
9;peindre de peur que à peu près;en dehors de inspecter rectorat;../fake-data/blob/hipster.png;image/png
10;délégation cuicui;géométrique;../fake-data/blob/hipster.png;image/png
