id;name;description;level
1;énoncer insuffisamment sans que;../fake-data/blob/hipster.txt;coin-coin quasi corps enseignant
2;groin groin vide drôlement;../fake-data/blob/hipster.txt;de crainte que raide
3;altruiste diététiste à côté de;../fake-data/blob/hipster.txt;même si clientèle
4;volontiers;../fake-data/blob/hipster.txt;jeune smack
5;secours;../fake-data/blob/hipster.txt;espiègle
6;puisque différer;../fake-data/blob/hipster.txt;hirsute super
7;après que;../fake-data/blob/hipster.txt;personnel professionnel
8;membre de l’équipe commis;../fake-data/blob/hipster.txt;porte-parole tant que chut
9;antagoniste;../fake-data/blob/hipster.txt;délégation émérite hypocrite
10;quasiment fourbe;../fake-data/blob/hipster.txt;marier rectangulaire
