id;title;description;status;is_confidential;validation;reward_type;likes;created_date;modified_date;is_public;impact
1;célébrer;../fake-data/blob/hipster.txt;IN_PROGRESS;false;false;TITANIUM;32364;2024-12-08T15:43:40;2024-12-09T02:34:19;false;raide dans quant à
2;rédaction;../fake-data/blob/hipster.txt;IN_PROGRESS;false;false;BRONZE;12928;2024-12-09T11:11:23;2024-12-09T13:40:11;true;rectangulaire diplomate chef de cuisine
3;d'entre tard bè;../fake-data/blob/hipster.txt;IN_PROGRESS;true;false;ARGENT;27036;2024-12-08T21:21:12;2024-12-09T09:33:09;false;zzzz
4;démarrer;../fake-data/blob/hipster.txt;APPROVED;true;true;OR;5764;2024-12-08T22:51:22;2024-12-09T01:30:43;true;si bien que bang membre titulaire
5;étrangler euh quand ?;../fake-data/blob/hipster.txt;OPEN;true;true;DIAMANT;26193;2024-12-09T00:39:24;2024-12-08T15:56:16;false;chef de cuisine aussitôt que afin de
6;contenter;../fake-data/blob/hipster.txt;IN_VOTING;true;true;ELYSIUM;14819;2024-12-09T00:48:17;2024-12-09T12:21:07;true;hormis cependant
7;vis-à-vie de après vu que;../fake-data/blob/hipster.txt;COMPLETED;true;true;BRONZE;23521;2024-12-08T17:17:48;2024-12-09T08:23:00;false;toutefois
8;commis de cuisine calmer au-dedans de;../fake-data/blob/hipster.txt;IN_PROGRESS;true;true;DIAMANT;30794;2024-12-09T03:11:28;2024-12-08T18:07:31;false;juger rester boum
9;que;../fake-data/blob/hipster.txt;COMPLETED;true;false;DIAMANT;29763;2024-12-09T04:50:21;2024-12-09T13:04:50;true;de façon que séculaire hé
10;au-dessus de volontiers;../fake-data/blob/hipster.txt;IN_PROGRESS;true;false;PLATINE;14245;2024-12-08T22:56:45;2024-12-08T18:51:22;false;puisque loin de
