id;action;action_date;description;reward_type;likes
1;athlète après que;2024-12-08T15:56:14;../fake-data/blob/hipster.txt;ARGENT;20249
2;membre du personnel amorphe ha ha;2024-12-09T10:05:08;../fake-data/blob/hipster.txt;ARGENT;3203
3;résulter;2024-12-08T22:47:59;../fake-data/blob/hipster.txt;ARGENT;15878
4;toujours abandonner d'avec;2024-12-08T21:33:20;../fake-data/blob/hipster.txt;ARGENT;3872
5;différencier;2024-12-08T21:05:25;../fake-data/blob/hipster.txt;PLATINE;22219
6;miam ailleurs si bien que;2024-12-08T15:10:14;../fake-data/blob/hipster.txt;ARGENT;4999
7;passablement charitable piquer;2024-12-08T21:46:57;../fake-data/blob/hipster.txt;PLATINE;11163
8;blablabla à défaut de ;2024-12-08T20:37:32;../fake-data/blob/hipster.txt;PLATINE;24054
9;fonctionnaire renforcer sous couleur de;2024-12-09T08:09:57;../fake-data/blob/hipster.txt;PLATINE;15788
10;en decà de;2024-12-08T21:56:52;../fake-data/blob/hipster.txt;PLATINE;5699
