id;action;action_date;old_likes;new_likes
1;gestionnaire tellement;2024-12-09T12:27:03;24446;17367
2;vivace;2024-12-09T06:59:43;15615;27964
3;gémir amuser;2024-12-08T23:45:18;28393;9190
4;là encore tard;2024-12-08T15:33:35;30097;12127
5;parmi dessous;2024-12-08T20:33:05;26767;18579
6;au point que grrr briller;2024-12-09T00:44:32;7063;23381
7;ha membre titulaire délégation;2024-12-09T06:47:41;8854;27395
8;loufoque athlète;2024-12-08T22:57:58;23631;24653
9;déclencher patientèle;2024-12-09T07:07:46;15097;27470
10;mal à condition que blablabla;2024-12-08T23:27:48;21226;12688
