id;message;type;sent_date;read
1;garder;aussitôt que monter;2024-08-30T02:28:13;false
2;protéger;assez tandis que;2024-08-30T03:07:23;true
3;plouf à peu près de sorte que;au prix de au dépens de sans que;2024-08-29T14:25:49;false
4;hystérique à bas de;ordonner;2024-08-30T02:11:19;false
5;affable;ici pis;2024-08-30T11:21:18;false
6;interpréter vis-à-vie de loin de;bzzz personnel professionnel;2024-08-30T11:58:28;false
7;sitôt que;à peine de manière à ce que dense;2024-08-30T03:32:20;false
8;franco avant que;avant que euh;2024-08-30T06:03:57;false
9;grandement;zzzz timide;2024-08-30T01:56:07;false
10;chut;entre;2024-08-30T10:19:13;true
