id;status;created_date;modified_date
1;REJECTED;2024-12-08T17:04:50;2024-12-09T03:51:31
2;HIRED;2024-12-09T12:47:02;2024-12-09T06:13:01
3;NEW;2024-12-09T14:19:20;2024-12-08T16:13:26
4;NEW;2024-12-09T04:32:11;2024-12-08T23:04:36
5;INTERVIEW_SCHEDULED;2024-12-09T06:43:12;2024-12-09T13:59:15
6;INTERVIEW_SCHEDULED;2024-12-08T15:16:53;2024-12-09T11:14:33
7;HIRED;2024-12-08T22:19:11;2024-12-08T20:48:19
8;NEW;2024-12-09T14:19:54;2024-12-09T13:10:41
9;CONTACTED;2024-12-08T14:57:35;2024-12-08T21:50:49
10;INTERVIEW_SCHEDULED;2024-12-09T04:25:54;2024-12-09T13:12:30
