id;action;action_date;description
1;simplifier;2024-08-30T01:43:48;../fake-data/blob/hipster.txt
2;en face de essuyer;2024-08-30T06:06:04;../fake-data/blob/hipster.txt
3;intéresser de façon à ce que pourvu que;2024-08-29T22:51:17;../fake-data/blob/hipster.txt
4;magnifique quant à;2024-08-30T07:04:59;../fake-data/blob/hipster.txt
5;en bas de;2024-08-30T07:12:12;../fake-data/blob/hipster.txt
6;parce que pour;2024-08-29T19:29:00;../fake-data/blob/hipster.txt
7;bien que personnel;2024-08-29T17:53:22;../fake-data/blob/hipster.txt
8;pacifique en outre de;2024-08-30T11:44:01;../fake-data/blob/hipster.txt
9;autrefois meuh autant;2024-08-29T20:00:45;../fake-data/blob/hipster.txt
10;que;2024-08-30T07:17:44;../fake-data/blob/hipster.txt
